"","CpG","avg_meth_rate","min_pval","pvals_cloneass","Type"
"AMPL365804","AMPL365804",0.563917897011166,1.04962680445426e-07,4.12053742367501e-07,"Dynamic"
"AMPL371677","AMPL371677",0.147569319409435,7.57983427569033e-15,0.000102263632124173,"Dynamic"
"AMPL366031","AMPL366031",0.301764494058334,3.1900972988819e-28,1,"Dynamic"
"AMPL365795","AMPL365795",0.225207057976232,3.33434952747355e-37,2.44077255020546e-40,"Dynamic"
"AMPL371606","AMPL371606",0.208642419877567,1.70195464692439e-07,4.3985894430318e-08,"Dynamic"
"AMPL371716","AMPL371716",0.73438962909615,3.51544735536345e-33,1.12439783083912e-126,"Dynamic"
"AMPL371452","AMPL371452",0.833057256031695,1.16137722236734e-07,6.35378817673442e-26,"Dynamic"
"AMPL371736","AMPL371736",0.678069859560687,9.14079102905894e-19,2.09985496675279e-32,"Dynamic"
"AMPL365943","AMPL365943",0.318473172488297,9.50958510653654e-30,1,"Dynamic"
"AMPL365818","AMPL365818",0.173424558876482,8.6504308030709e-26,7.53971392762942e-26,"Dynamic"
"AMPL371486","AMPL371486",0.818365142239827,0.0709505697217921,1,"Static"
"AMPL366056","AMPL366056",0.241051494418438,2.70635707665369e-08,0.000639544441178265,"Dynamic"
"AMPL377538","AMPL377538",0.208354339214981,2.4712220950645e-05,9.51249212512857e-22,"Dynamic"
"AMPL371185","AMPL371185",0.442851998559599,1.11097232672457e-10,5.81835747059691e-17,"Dynamic"
"AMPL371805","AMPL371805",0.171624054735326,4.26182259095577e-09,1,"Dynamic"
"AMPL371231","AMPL371231",0.879294202376667,0.0077897711329247,7.4184328878164e-14,"Static"
"AMPL371552","AMPL371552",0.403456967951025,2.39668760502298e-34,1,"Dynamic"
"AMPL371720","AMPL371720",0.296290961469206,2.90141788300256e-15,2.23886133768134e-07,"Dynamic"
"AMPL365907","AMPL365907",0.0128195894850558,2.5966776022432e-13,0.886161415063818,"Dynamic"
"AMPL371197","AMPL371197",0.202160604969395,1.56605962801958e-43,2.84396652527269e-11,"Dynamic"
"AMPL371323","AMPL371323",0.926539431040689,2.15339630358973e-19,1,"Dynamic"
"AMPL366142","AMPL366142",0.752538710839036,2.21287908905886e-12,1.01632941170717e-228,"Dynamic"
"AMPL355654","AMPL355654",0.73316528628016,2.00627901138912e-11,1.27580477538961e-169,"Dynamic"
"AMPL365828","AMPL365828",0.241915736406192,1.53921588328426e-27,2.44936601073017e-08,"Dynamic"
"AMPL355639","AMPL355639",0.413755851638456,0.000631315389200027,9.07856283714544e-141,"Static"
"AMPL376721","AMPL376721",0.956859920777819,1.54692519076359e-07,2.86505387887802e-25,"Dynamic"
"AMPL389964","AMPL389964",0.884551674468851,8.24109434082772e-14,0,"Dynamic"
"AMPL390252","AMPL390252",0.936118113071658,0.00332936677398621,1.16588269527328e-05,"Dynamic"
"AMPL365731","AMPL365731",0.624486856319764,0.000629011123281876,0,"Static"
"AMPL376850","AMPL376850",0.601440403312919,0.00141020726287063,0,"Static"
"AMPL376373","AMPL376373",0.937990637378461,3.48500091507233e-05,5.86259723736622e-08,"Dynamic"
"AMPL377317","AMPL377317",0.653583003240915,1.78174314480782e-09,1.90298266359506e-49,"Dynamic"
"AMPL377328","AMPL377328",0.867770975873246,0.0305847139841724,8.14947421859472e-181,"Static"
"AMPL390370","AMPL390370",0.546849117752972,0.0101563931541952,0,"Static"
"AMPL371591","AMPL371591",0.849909974792943,0.0333066029648476,3.43151083732973e-135,"Static"
"AMPL371522","AMPL371522",0.881022686352182,0.000313368625817505,0,"Static"
"AMPL390025","AMPL390025",0.76067698955708,0.0426778516316833,0,"Static"
"AMPL371508","AMPL371508",0.844508462369465,3.55281392873423e-10,0.00465793740394102,"Dynamic"
"AMPL355615","AMPL355615",0.553763053655027,7.56810742668465e-05,0,"Dynamic"
"AMPL376609","AMPL376609",0.915016204537273,6.31202088429544e-06,3.15590771369927e-07,"Dynamic"
"AMPL388228","AMPL388228",0.481238746849114,0.0798857688291364,0,"Static"
"AMPL371634","AMPL371634",0.995750810226864,0.0241513376703586,0.11133886659105,"Dynamic"
"AMPL371541","AMPL371541",0.504501260352899,0.000101656161849432,4.48168961331667e-89,"Dynamic"
"AMPL388797","AMPL388797",0.467266834713724,0.000406352394490867,0,"Static"
"AMPL371547","AMPL371547",0.709038530788618,0.122377431506222,0,"Static"
"AMPL355851","AMPL355851",0.724882967230823,8.3849358905859e-18,5.15877738756562e-40,"Dynamic"
"AMPL376496","AMPL376496",0.774720921858121,2.54035038117625e-19,8.78092876289454e-12,"Dynamic"
"AMPL376957","AMPL376957",0.923514584083544,0.00584861014532921,7.88344344192946e-230,"Dynamic"
"AMPL377097","AMPL377097",0.391789701116314,2.94033283185475e-15,8.87686821556596e-125,"Dynamic"
"AMPL371255","AMPL371255",0.650846236946343,0.000176955581803562,4.10768524837076e-141,"Static"
"AMPL371813","AMPL371813",0.895930860640978,0.00388613779435263,1.46763135564823e-43,"Static"
"AMPL388838","AMPL388838",0.987828592005761,0.076710723848188,1,"Dynamic"
"AMPL376591","AMPL376591",0.879006121714083,0.150173912526832,4.80344810700857e-161,"Static"
"AMPL377144","AMPL377144",0.988620813827872,0.00405701146503303,1,"Dynamic"
"AMPL371421","AMPL371421",0.703781058696435,1.86996611713556e-22,0.187108229722999,"Dynamic"
"AMPL376854","AMPL376854",0.0787180410514941,2.71850716851474e-06,0,"Dynamic"
"AMPL371238","AMPL371238",0.846813107670148,6.73321439912066e-74,6.39289061644858e-05,"Dynamic"
"AMPL388681","AMPL388681",0.46762693554195,0.000406899190194521,0,"Static"
"AMPL371217","AMPL371217",0.815916456607849,0.000504589138321008,1.83774448600501e-238,"Static"
"AMPL371186","AMPL371186",0.153330932661145,6.28206853656028e-17,0.061862360417951,"Dynamic"
"AMPL378478","AMPL378478",0.699171768095071,0.0502917561435871,3.67445804523085e-93,"Static"
"AMPL390117","AMPL390117",0.87050774216781,6.23321264502657e-23,1.96547188184447e-07,"Dynamic"
"AMPL390585","AMPL390585",0.604537270435718,0.00161526572814159,1,"Static"
"AMPL390129","AMPL390129",0.710262873604606,0.0034030767010695,0,"Static"
"AMPL371237","AMPL371237",0.66964350018005,4.63819298674257e-24,3.52552411800725e-24,"Dynamic"
"AMPL355844","AMPL355844",0.979978393950307,0.0293645245476304,1,"Dynamic"
"AMPL376597","AMPL376597",0.77032769175369,2.09547492407328e-85,1.32287288384831e-07,"Dynamic"
"AMPL365812","AMPL365812",0.418509182571117,0.0515424273521,9.73122882261158e-304,"Static"
"AMPL390097","AMPL390097",0.88527187612532,0.00168906575817711,6.52639295548111e-120,"Static"
"AMPL355829","AMPL355829",0.832553114872166,0.0322826205777782,7.07106706407586e-133,"Static"
"AMPL355873","AMPL355873",0.792221822110193,0.0106544463594382,1.61369218154212e-73,"Static"
"AMPL355742","AMPL355742",0.0432841195534749,2.2865027551459e-06,1,"Dynamic"
"AMPL355889","AMPL355889",0.196615052214621,8.69347719736992e-10,2.80834488411421e-11,"Dynamic"
"AMPL365997","AMPL365997",0.588260712999652,3.0163649230578e-07,0.000150098161183474,"Dynamic"
"AMPL376733","AMPL376733",0.469283399351825,8.8642174099001e-12,0,"Dynamic"
"AMPL390626","AMPL390626",0.290025207057982,0.000149777033004403,0,"Static"
"AMPL365730","AMPL365730",0.608786460208857,0.000244251837643885,2.43234085567739e-211,"Static"
"AMPL390006","AMPL390006",0.989629096146921,1.42257147394475e-08,1,"Dynamic"
"AMPL371756","AMPL371756",0.797047173208487,7.23374579808233e-22,2.70480866357296e-135,"Dynamic"
"AMPL355580","AMPL355580",0.850270075621176,0.00603104217982854,0,"Static"
"AMPL365940","AMPL365940",0.877709758732445,5.42707019472298e-08,2.80900333736827e-220,"Dynamic"
"AMPL366193","AMPL366193",0.485992077781778,2.17377465382343e-23,0.000916558348748757,"Dynamic"
"AMPL377424","AMPL377424",0.906157724162766,0.00791317959435962,1.85480223660064e-66,"Dynamic"
"AMPL377537","AMPL377537",0.0610731004681305,8.87253275317379e-05,1,"Dynamic"
"AMPL378928","AMPL378928",0.82254231184732,0.000282169396323112,9.43340905181759e-72,"Static"
"AMPL378501","AMPL378501",0.607922218221102,0.030972980304124,0,"Static"
"AMPL388692","AMPL388692",0.844148361541231,6.7635513998763e-08,7.97871228534948e-112,"Dynamic"
"AMPL355676","AMPL355676",0.73971912135398,0.00200177124087814,7.82676082458032e-135,"Static"
"AMPL355831","AMPL355831",0.494130356499819,0.00184051169309817,0,"Static"
"AMPL376547","AMPL376547",0.976449405833633,0.00343770251932626,0.00499575876607603,"Dynamic"
"AMPL371772","AMPL371772",0.746921137918623,0.000125617615990257,0,"Static"
"AMPL371261","AMPL371261",0.998703637018365,0.115038995829949,1,"Dynamic"
"AMPL371729","AMPL371729",0.529276197335254,2.96856939678811e-23,2.36949247600308e-07,"Dynamic"
"AMPL371483","AMPL371483",0.862153402952826,0.0133959932390205,6.95569703974224e-199,"Static"
"AMPL371172","AMPL371172",0.90126035289881,0.00216353758103799,8.65362711911607e-151,"Dynamic"
"AMPL371792","AMPL371792",0.483831472812384,5.91900367838567e-14,1.5138205237633e-26,"Dynamic"
"AMPL371355","AMPL371355",0.707886208138274,7.72979573105498e-05,0,"Dynamic"
"AMPL355534","AMPL355534",0.805113431760891,4.26746501643996e-08,6.46461388917755e-48,"Dynamic"
"AMPL377174","AMPL377174",0.863017644940583,4.17199833666711e-52,2.38341023989777e-15,"Dynamic"
"AMPL366007","AMPL366007",0.878285920057615,1.13025497796085e-07,1.16195738134842e-09,"Dynamic"
"AMPL366182","AMPL366182",0.860785019805544,0.0108691384980164,0,"Static"
"AMPL371512","AMPL371512",0.424342815988475,0.0528183051971305,0,"Static"
"AMPL390462","AMPL390462",0.985956067698954,0.0582951232918936,0.000121876199850335,"Dynamic"
"AMPL378486","AMPL378486",0.877781778898095,4.45600543164115e-06,0,"Dynamic"
"AMPL371404","AMPL371404",0.306661865322289,4.73346143389856e-21,2.26109484719873e-10,"Dynamic"
"AMPL376643","AMPL376643",0.969535469931582,0.0278632160936956,1.94747190959783e-127,"Dynamic"
"AMPL390336","AMPL390336",0.529276197335261,1.17302260719751e-05,0,"Dynamic"
"AMPL390512","AMPL390512",0.92653943104069,0.0416785376257524,0,"Dynamic"
"AMPL371317","AMPL371317",0.427079582283034,9.47309331823722e-06,0,"Dynamic"
"AMPL371811","AMPL371811",0.800720201656466,6.50199948711215e-12,0,"Dynamic"
"AMPL376577","AMPL376577",0.846669067338857,0.0398874922222474,1.54788263720043e-14,"Static"
"AMPL376593","AMPL376593",0.437522506301765,0.0085570807027034,0,"Static"
"AMPL371251","AMPL371251",0.749513863881896,0.0063041905000244,0,"Static"
"AMPL371471","AMPL371471",0.948505581562837,2.01259840560808e-05,2.10856903781082e-08,"Dynamic"
"AMPL371303","AMPL371303",0.255167446885123,0.0266696107662699,0,"Static"
"AMPL377510","AMPL377510",0.925891249549873,0.00611927755534739,5.09239555993794e-226,"Dynamic"
"AMPL365861","AMPL365861",0.334605689593084,1.0272491344702e-26,2.5100469901141e-10,"Dynamic"
"AMPL371644","AMPL371644",0.589485055815628,3.07947278048264e-06,2.42262154130258e-276,"Dynamic"
"AMPL365729","AMPL365729",0.923010442924023,0.00641009515447226,8.84653486644835e-31,"Dynamic"
"AMPL388345","AMPL388345",0.351170327691755,0.001874311160975,0,"Static"
"AMPL371773","AMPL371773",0.641699675909231,1.16330470786925e-05,0,"Dynamic"
"AMPL371292","AMPL371292",0.526179330212452,0.00570490862383783,0,"Static"
"AMPL371810","AMPL371810",0.543896290961468,0.0101249929364853,0,"Static"
"AMPL376843","AMPL376843",0.900396110911051,4.00766465762232e-08,3.45407947527625e-83,"Dynamic"
"AMPL390223","AMPL390223",0.347857400072022,0.0244207090523308,0,"Static"
"AMPL371812","AMPL371812",0.797551314368023,0.00185080036972288,0,"Static"
"AMPL390215","AMPL390215",0.999711919337414,1,1,"Dynamic"
"AMPL371589","AMPL371589",0.616420597767375,9.73444468297951e-52,6.22056924549812e-18,"Dynamic"
"AMPL371389","AMPL371389",0.859848757652141,3.63827786805513e-27,1,"Dynamic"
"AMPL371271","AMPL371271",0.887144400432121,1.14093788593733e-17,1.44807133573054e-06,"Dynamic"
"AMPL371265","AMPL371265",0.67778177889809,1.02143205578667e-21,1.96159201731535e-17,"Dynamic"
"AMPL366159","AMPL366159",0.731076701476415,1.82031412274349e-43,8.8170418174979e-10,"Dynamic"
"AMPL371654","AMPL371654",0.767014764133956,9.59596050670397e-10,3.76438811780746e-212,"Dynamic"
"AMPL371420","AMPL371420",0.527979834353613,4.07275362856117e-43,1.34552615897501e-19,"Dynamic"
"AMPL355947","AMPL355947",0.677781778898101,2.09253652960125e-17,9.20048917461441e-244,"Dynamic"
"AMPL390594","AMPL390594",0.996975153042852,0.159069314911215,0.985710229949574,"Dynamic"
"AMPL355546","AMPL355546",0.668347137198415,2.1345406807434e-57,7.36978861238338e-14,"Dynamic"
"AMPL355932","AMPL355932",0.837882607129996,5.6625833929926e-05,0,"Dynamic"
"AMPL365895","AMPL365895",0.692401872524307,1.12978604107625e-22,3.24656593040357e-06,"Dynamic"
"AMPL365894","AMPL365894",0.66380986676269,4.27547886578139e-38,9.43905662173967e-14,"Dynamic"
"AMPL371600","AMPL371600",0.669931580842642,9.6378037920313e-24,4.57039956480131e-20,"Dynamic"
"AMPL355545","AMPL355545",0.974432841195534,0.150699669954693,1,"Dynamic"
"AMPL365945","AMPL365945",0.570615772416278,1.91505689861366e-05,6.34771006191138e-14,"Dynamic"
"AMPL365823","AMPL365823",0.489305005401508,5.7643090836124e-09,2.87387601517128e-24,"Dynamic"
"AMPL365750","AMPL365750",0.749729924378833,6.15879424550836e-38,9.36814713394187e-23,"Dynamic"
"AMPL371732","AMPL371732",0.519697515304286,0.000593364380878562,5.00713368427269e-286,"Static"
"AMPL371479","AMPL371479",0.741951746489021,2.65355368362302e-13,2.00290904667124e-68,"Dynamic"
"AMPL371488","AMPL371488",0.471876125315086,7.0345609947597e-15,5.52288606909853e-191,"Dynamic"
"AMPL365844","AMPL365844",0.373856679870365,0.106935073145066,1.2009696444977e-116,"Static"
"AMPL365790","AMPL365790",0.965214259992798,0.0501952341036097,8.72219839726801e-05,"Dynamic"
"AMPL371358","AMPL371358",0.397695354699312,2.40777398759826e-18,0.00247145198153565,"Dynamic"
"AMPL371262","AMPL371262",0.724882967230823,8.43725862412744e-16,8.08271879319963e-25,"Dynamic"
"AMPL366082","AMPL366082",0.692545912855604,1.9214274436276e-44,3.14654053294181e-18,"Dynamic"
"AMPL365923","AMPL365923",0.417428880086427,2.89068037624383e-08,6.64408450761335e-248,"Dynamic"
"AMPL390593","AMPL390593",0.772848397551315,6.30872992606824e-09,2.89474673939868e-46,"Dynamic"
"AMPL366042","AMPL366042",0.552250630176452,1.817803683577e-12,6.74740978056424e-20,"Dynamic"
"AMPL371491","AMPL371491",0.778682030968673,9.46072262801944e-05,2.63067479632399e-113,"Dynamic"
"AMPL371429","AMPL371429",0.834137558516391,4.7674253665811e-07,9.25797894405793e-229,"Dynamic"
"AMPL376551","AMPL376551",0.776665466330574,1.74104089878442e-54,1.64903408620069e-07,"Dynamic"
"AMPL376320","AMPL376320",0.724162765574359,0.19968028581065,2.31456406550354e-59,"Static"
"AMPL389990","AMPL389990",0.624126755491534,7.58145053210731e-09,1.53699675610816e-07,"Dynamic"
"AMPL366090","AMPL366090",0.352466690673385,9.73898237804989e-37,9.36681424092709e-40,"Dynamic"
"AMPL376917","AMPL376917",0.449693914296,4.28825228140553e-55,1.29578271422728e-25,"Dynamic"
"AMPL376929","AMPL376929",0.683975513143687,0.000146498926796815,6.10740838284796e-99,"Static"
"AMPL388261","AMPL388261",0.799063737846597,4.41632801558875e-05,9.65307280953151e-116,"Dynamic"
"AMPL366052","AMPL366052",0.714368023046456,1.81653981152781e-40,1.09021934533113e-45,"Dynamic"
"AMPL366022","AMPL366022",0.762549513863878,7.4464958083098e-46,4.36585784452805e-18,"Dynamic"
"AMPL388732","AMPL388732",0.630104429240188,1.21178050496472e-19,7.89143840400612e-17,"Dynamic"
"AMPL390447","AMPL390447",0.72193014043932,0.00538010721796986,2.36482300421729e-259,"Static"
"AMPL390601","AMPL390601",0.805689593086059,0.00133742206351825,0,"Static"
"AMPL366088","AMPL366088",0.474684911775296,5.7985593921141e-21,2.30960983869279e-24,"Dynamic"
"AMPL365853","AMPL365853",0.437018365142233,7.99503039749622e-12,3.86424534472007e-05,"Dynamic"
"AMPL390570","AMPL390570",0.664314007922224,0.00197135766541035,0,"Static"
"AMPL366029","AMPL366029",0.261937342455882,0.00155686941197748,0,"Static"
"AMPL388788","AMPL388788",0.527691753691031,6.38612771213961e-31,4.77860319668423e-33,"Dynamic"
"AMPL365896","AMPL365896",0.882247029168166,5.23887199825972e-21,0.000782087749723683,"Dynamic"
"AMPL388408","AMPL388408",0.617788980914649,0.00011961655289784,0,"Static"
"AMPL388483","AMPL388483",0.603312927619734,4.56735717515601e-17,3.21330719459475e-11,"Dynamic"
"AMPL389956","AMPL389956",0.318905293482165,0.00993902221856566,0,"Static"
"AMPL389970","AMPL389970",0.757580122434261,7.32139146926049e-16,0,"Dynamic"
"AMPL388223","AMPL388223",0.967662945624775,0.0555296507154429,1,"Dynamic"
"AMPL365981","AMPL365981",0.25603168887288,1.08387579196246e-09,1.55550043149688e-60,"Dynamic"
"AMPL390597","AMPL390597",0.489016924738922,2.96590106686103e-16,3.31160246804355e-22,"Dynamic"
"AMPL366053","AMPL366053",0.264314007922219,9.40955161594834e-30,6.6591293068317e-19,"Dynamic"
"AMPL390487","AMPL390487",0.667770975873244,4.76029141095511e-16,3.66211273141273e-12,"Dynamic"
"AMPL376483","AMPL376483",0.74677709758733,1.09622097978214e-06,1,"Dynamic"
"AMPL388272","AMPL388272",0.867482895210661,0.000322766178956526,8.33769445759442e-282,"Static"
"AMPL388372","AMPL388372",0.807634137558511,0.000989044633478952,0,"Static"
"AMPL388655","AMPL388655",0.420453727043574,3.25288608890276e-15,1.03931096017698e-06,"Dynamic"
"AMPL390581","AMPL390581",0.947641339575079,0.00689262913155738,5.23275305929443e-06,"Dynamic"
"AMPL388628","AMPL388628",0.831760893050058,0.00131184595993534,6.2817254931074e-70,"Static"
"AMPL388687","AMPL388687",0.238170687792582,4.25692835215047e-09,1.92026168612343e-133,"Dynamic"
"AMPL376587","AMPL376587",0.602160604969397,4.36516451592473e-21,7.59782251454588e-167,"Dynamic"
"AMPL388762","AMPL388762",0.626863521786099,5.16522102210041e-09,6.3956907640296e-302,"Dynamic"
"AMPL388291","AMPL388291",0.553186892329855,8.30252709699088e-24,1.57259877683443e-12,"Dynamic"
"AMPL376465","AMPL376465",0.806193734245589,0.000450937906937612,0,"Static"
"AMPL388609","AMPL388609",0.986676269355419,0.0415782251266913,1,"Dynamic"
"AMPL389976","AMPL389976",0.998343536190133,0.0690705987524321,1,"Dynamic"
"AMPL388660","AMPL388660",0.86489016924739,4.10752294476113e-07,3.44460153035293e-91,"Dynamic"
"AMPL388494","AMPL388494",0.847749369823555,0.000236984651578355,3.21488662592293e-72,"Static"
"AMPL388807","AMPL388807",0.0977313647821427,1.95234396301226e-07,1.28532828098095e-114,"Dynamic"
"AMPL388710","AMPL388710",0.388980914656107,1.8653142658875e-10,5.39629160308142e-16,"Dynamic"
"AMPL388618","AMPL388618",0.9731364782139,1.58900259443332e-05,0.232296756544317,"Dynamic"
"AMPL365753","AMPL365753",0.662009362621531,2.08296920494341e-06,7.36395775823772e-123,"Dynamic"
"AMPL376897","AMPL376897",0.891321570039613,0.00181492322937176,0,"Static"
"AMPL388620","AMPL388620",0.656679870363701,0.00346050664926266,0,"Static"
"AMPL376501","AMPL376501",0.990133237306447,0.000598171839174255,1,"Dynamic"
"AMPL390524","AMPL390524",0.825423118473176,0.11572931595304,3.94333640721245e-58,"Static"
"AMPL376938","AMPL376938",0.88001440403313,1.41735415863501e-10,3.59324772616839e-65,"Dynamic"
"AMPL376318","AMPL376318",0.391573640619367,2.72030458181535e-10,2.06644225578804e-63,"Dynamic"
"AMPL376298","AMPL376298",0.801008282319049,0.00152692936986023,6.19214708573668e-278,"Static"
"AMPL376389","AMPL376389",0.851062297443287,3.58570899448734e-13,2.48445747857949e-06,"Dynamic"
"AMPL388818","AMPL388818",0.289953186892328,1.06554434438968e-19,1.66604195034363e-14,"Dynamic"
"AMPL371802","AMPL371802",0.717464890169243,4.30810712127236e-11,3.8495637566542e-137,"Dynamic"
"AMPL388428","AMPL388428",0.0474612891609658,6.38909030944058e-06,1.13808442952143e-100,"Dynamic"
"AMPL390606","AMPL390606",0.948073460568959,7.72517192203705e-07,3.88415614044913e-13,"Dynamic"
"AMPL388351","AMPL388351",0.640331292761975,5.86905299312893e-08,0.0100719525804976,"Dynamic"
"AMPL371757","AMPL371757",0.794670507742162,2.01127304088343e-05,2.34183585356797e-184,"Dynamic"
"AMPL388260","AMPL388260",0.767879006121711,0.0451239609599282,2.60811626084077e-103,"Static"
"AMPL388402","AMPL388402",0.908822470291682,0.000121308905431419,1,"Dynamic"
"AMPL388730","AMPL388730",0.935109830752612,0.151152760418123,3.35675953018991e-14,"Dynamic"
"AMPL388354","AMPL388354",0.804249189773134,1.12763696965888e-26,8.84405082960928e-09,"Dynamic"
"AMPL388447","AMPL388447",0.969895570759811,1.34584177359693e-05,0.118081823403741,"Dynamic"
